,inflorescence
Dictyosperma_album,1
Euterpe_broadwayi,2
Euterpe_catinga,1
Euterpe_edulis,1
Euterpe_oleracea,2
Euterpe_precatoria,1
Euterpe_precatoria_var._longivaginata,1
Hyospathe_elegans,1
Hyospathe_elegans_subsp._elegans,1
Hyospathe_frontinensis,1
Hyospathe_macrorhachis,1
Hyospathe_peruviana,1
Hyospathe_pittieri,1
Hyospathe_wendlandiana,1
Neonicholsonia_watsonii,4
Oenocarpus_bacaba,3
Oenocarpus_balickii,3
Oenocarpus_bataua,3
Oenocarpus_bataua_var._bataua,3
Oenocarpus_distichus,3
Oenocarpus_mapora,3
Oenocarpus_minor,3
Oenocarpus_simplex,4
Prestoea_acuminata,1
Prestoea_acuminata_var._dasystachys,1
Prestoea_acuminata_var._montana,1
Prestoea_carderi,1
Prestoea_decurrens,1
Prestoea_ensiformis,1
Prestoea_longipetiolata_var._cuatrecasasii,1
Prestoea_pubens,1
Prestoea_pubens_var._semispicata,1
Prestoea_schultzeana,1
Prestoea_tenuiramosa,1
